PI-4318 Timeline v7 - Gantt (week-as-cell)
Program: Apr 27 - Jul 24 (~13 weeks). Cells filled with ticket key = active week. Today: Apr 27.
,,,,,,,,,,,,,,,,,
Section,Jira,Summary,Owner,Effort (md),Apr 27 (today),May 4,May 11,May 18,May 25,Jun 1,Jun 8,Jun 15,Jun 22,Jun 29,Jul 6,Jul 13,Jul 20
,,,,,,,,,,,,,,,,,
Engineer A (100%),,,,,,,,,,,,,,,,,
,PF-1992,Migration plan,Eng A,3,PF-1992,,,,,,,,,,,,
,PF-1993,pnpm migration,Eng A,4,PF-1993,PF-1993,,,,,,,,,,,
,PF-1994,packages/base/* (14d),Eng A,14,,PF-1994,PF-1994,PF-1994,PF-1994,,,,,,,,
,PF-2005,Code Connect top 20,Eng A,7,,,,,PF-2005,PF-2005,,,,,,,
,PF-2021,query-builder pickup,Eng A,7,,,,,,PF-2021,PF-2021,,,,,,
,PF-2023,picasso-provider canary,Eng A,7,,,,,,,,PF-2023,PF-2023,,,,
,PF-1995,AI migration prompt,Eng A,3,,,,,,,,,PF-1995,,,,
,PF-1996,Staff Portal migration,Eng A,2,,,,,,,,,,PF-1996,,,
,PF-2002,Adopt rules (Staff Portal),Eng A,1,,,,,,,,,,PF-2002,,,
,PF-2003,npm-bundled distribution,Eng A,1,,,,,,,,,,PF-2003,,,
,PF-2008,Figma Make pickup,Eng A,3,,,,,,,,,,PF-2008,PF-2008,,
,PF-2009,Code Connect 55 pickup,Eng A,9,,,,,,,,,,,PF-2009,PF-2009,PF-2009
,,,,,,,,,,,,,,,,,
Engineer B (50%),,,,,,,,,,,,,,,,,
,PF-1998,Top 20 components,Eng B,1.5,PF-1998,PF-1998,,,,,,,,,,,
,PF-1997,LLM index v2,Eng B,2.5,,PF-1997,PF-1997,,,,,,,,,,
,PF-1999,Patterns inventory,Eng B,2.5,,,PF-1999,PF-1999,,,,,,,,,
,PF-2001,Docs (75) + designer dos/don'ts review,Eng B,10,,,,PF-2001,PF-2001,PF-2001,PF-2001,PF-2001,,,,,
,PF-2026,Skills package (4 Skills),Eng B,4,,,,,,,,,PF-2026,,,,
,PF-2000,Measurement (informational),Eng B,9,,,,,,,,,,PF-2000,PF-2000,PF-2000,PF-2000
,,,,,,,,,,,,,,,,,
Engineer C (50%),,,,,,,,,,,,,,,,,
,PF-2011,Middleware PoC,Eng C,3,PF-2011,PF-2011,,,,,,,,,,,
,PF-2020,charts (LineChart),Eng C,2,,,PF-2020,,,,,,,,,,
,PF-2022,rich-text-editor,Eng C,9,,,PF-2022,PF-2022,PF-2022,PF-2022,PF-2022,,,,,,
,PF-2012,Middleware production,Eng C,8,,,,,,,PF-2012,PF-2012,PF-2012,PF-2012,,,
,PF-2013,Maestro audit,Eng C,2,,,,,,,,,,PF-2013,PF-2013,,
,,,,,,,,,,,,,,,,,
Designer,,,,,,,,,,,,,,,,,
,PF-2007,Token mapping (lead),Designer,1.5,,PF-2007,,,,,,,,,,,
,PF-2006,BASE spec gaps top 20,Designer,6.5,,PF-2006,PF-2006,,,,,,,,,,
,PF-2027,BASE spec gaps remaining 55,Designer,8,,,,,,,,PF-2027,PF-2027,,,,
,,,,,,,,,,,,,,,,,
Milestones,,,,,,,,,,,,,,,,,
,May 28,Phase 1 informational gate,—,,,,,,GATE,,,,,,,,
,Jul 7,Eng C done (Maestro audit wraps),—,,,,,,,,,,,,Eng C done,,
,Jul 20,Eng A done (PF-2009 wraps),—,,,,,,,,,,,,,,Eng A done
,Jul 22,Eng B done (PF-2000 wraps) - Program end,—,,,,,,,,,,,,,,Program end
,,,,,,,,,,,,,,,,,
Excluded from PI scope:,,,,,,,,,,,,,,,,,
,PF-2004,P3-AIC-03 Collect feedback,—,—,,,,,,,,,,,,,
,PF-2010,P3-FIG-01 Designer onboarding,—,—,,,,,,,,,,,,,
,P3-MOD-02,Migrate other repos (16),—,—,,,,,,,,,,,,,
,P3-MAE-01,Maestro onboarding,—,—,,,,,,,,,,,,,
,P3-MAE-02,Maestro default to Picasso,—,—,,,,,,,,,,,,,
