Group_ID,Group_Name,Instability,Responsibility,Accumulative_Instability,Accumulative_Responsibility,Layer,Dependencies,Children
0,Group 0,2,1,16,3,,"packages/base/packages/ButtonAction/, packages/base/packages/Icon/, packages/base/packages/AccordionSummary/, packages/base/packages/AccordionDetails/, packages/base/packages/Accordion/","packages/base/packages/AccordionCompound/, packages/base/packages/Accordion/, packages/base/packages/AccordionDetails/, packages/base/packages/AccordionSummary/"
1,Group 1,2,0,10,0,,"packages/base/packages/ButtonAction/, packages/base/packages/Typography/",packages/base/packages/ShowMore/
2,Group 2,1,33,2,117,,packages/base/packages/utils/,packages/base/packages/Icon/
3,Group 3,6,0,20,0,,"packages/base/packages/Typography/, packages/base/packages/UserBadge/, packages/base/packages/Icon/, packages/base/packages/Link/, packages/base/packages/MenuCompound/, packages/base/packages/Container/",packages/base/packages/AccountSelect/
4.1,Group 4.1,0,2,0,9,,,packages/base/packages/Link/
4,Group 4,1,39,2,120,,packages/base/packages/utils/,packages/base/packages/Container/
5,Group 5,1,38,2,101,,packages/base/packages/utils/,packages/base/packages/Typography/
5.1,Group 5.1,1,0,2,0,,packages/base/packages/Typography/,packages/base/packages/Amount/
6,Group 6,3,3,10,9,,"packages/base/packages/Avatar/, packages/base/packages/Container/, packages/base/packages/Typography/",packages/base/packages/UserBadge/
8,Group 8,7,23,86,50,,"packages/base/packages/ButtonGroup/, packages/base/packages/ButtonCircular/, packages/base/packages/Radio/, packages/base/packages/ButtonCheckbox/, packages/base/packages/ButtonAction/, packages/base/packages/Icon/, packages/base/packages/ButtonSplit/, packages/base/packages/Checkbox/, packages/base/packages/Dropdown/, packages/base/packages/Loader/, packages/base/packages/ButtonGroupItem/, packages/base/packages/ButtonControlLabel/, packages/base/packages/Button/, packages/base/packages/utils/, packages/base/packages/ButtonRadio/, packages/base/packages/Container/","packages/base/packages/ButtonCompound/, packages/base/packages/Button/, packages/base/packages/ButtonGroup/, packages/base/packages/ButtonGroupItem/, packages/base/packages/ButtonSplit/, packages/base/packages/ButtonCircular/, packages/base/packages/ButtonAction/, packages/base/packages/ButtonCheckbox/, packages/base/packages/ButtonControlLabel/, packages/base/packages/ButtonRadio/"
10,Group 10,1,42,5,262,,packages/base/packages/Notification/,packages/base/packages/utils/
11,Group 11,7,0,46,0,,"packages/base/packages/Alert/, packages/base/packages/ButtonCircular/, packages/base/packages/Typography/, packages/base/packages/Icon/, packages/base/packages/ButtonSplit/, packages/base/packages/AlertInline/, packages/base/packages/Button/, packages/base/packages/utils/, packages/base/packages/Container/","packages/base/packages/AlertCompound/, packages/base/packages/AlertInline/, packages/base/packages/Alert/"
12,Group 12,4,0,22,0,,"packages/base/packages/ApplicationUpdateNotification/, packages/base/packages/ButtonCircular/, packages/base/packages/Typography/, packages/base/packages/ApplicationUpdateNotificationActions/, packages/base/packages/Icon/, packages/base/packages/Container/","packages/base/packages/ApplicationUpdateNotification/, packages/base/packages/ApplicationUpdateNotificationActions/, packages/base/packages/ApplicationUpdateNotificationCompound/"
13,Group 13,11,2,55,3,,"packages/base/packages/InputAdornment/, packages/base/packages/Popper/, packages/base/packages/FieldsLayout/, packages/base/packages/Typography/, packages/base/packages/OutlinedInput/, packages/base/packages/Input/, packages/base/packages/Loader/, packages/base/packages/MenuCompound/, packages/base/packages/utils/, packages/base/packages/Container/, packages/base/packages/SelectOptions/",packages/base/packages/Autocomplete/
17,Group 17,0,5,0,33,,packages/base/packages/CircularProgress/,"packages/base/packages/Loader/, packages/base/packages/CircularProgress/"
19.1,Group 19.1,1,5,2,20,,packages/base/packages/utils/,packages/base/packages/Popper/
